Generation,Population,Nwt.0,Nmut.0,Nwt.1,Nmut.1,xmut.0,xmut.1,logfc_mut,logfc_wt,logit_percycle,logit_pergen,W,log_percycle,#Rep
5000,Ara + 1,277000.0,155000.0,15700000.0,20800000.0,0.35924478047942265,0.5722984875174635,4.897200179519274,4.02644379164257,0.870756387876704,0.2167033607021122,1.2167033607021123,0.46522662845813223,2.0
6000,Ara + 1,310000.0,145000.0,12800000.0,23700000.0,0.31702750940907154,0.6476515151515152,5.0995527032488095,3.719861408252652,1.3796912949961577,0.3709775485296334,1.3709775485296334,0.7173660429694656,2.0
7000,Ara + 1,299000.0,151000.0,15100000.0,24800000.0,0.33290083040562124,0.626082251082251,5.1111518340742865,3.8964181254231613,1.214733708651125,0.3150976385567251,1.315097638556725,0.633639024906762,2.0
8000,Ara + 1,283000.0,168000.0,11800000.0,26200000.0,0.3726496735111321,0.6894468462476444,5.049571946164475,3.7307701986041204,1.3188017475603544,0.3535645259970341,1.353564525997034,0.615858043995399,2.0
9000,Ara + 1,284000.0,159000.0,11500000.0,29700000.0,0.3588352840422495,0.7201382499351217,5.228442334507952,3.700281198622725,1.5281611358852276,0.41327971651414475,1.4132797165141446,0.6961898297092748,2.0
10000,Ara + 1,307000.0,196000.0,15000000.0,26200000.0,0.39040976321970416,0.6400226757369615,4.892330881958845,3.851462465636791,1.0408684163220538,0.2833850960894142,1.2833850960894142,0.48600439422634195,2.0
11000,Ara + 1,301000.0,161000.0,14200000.0,30000000.0,0.34879209850628784,0.6801446280991735,5.22921120723237,3.8458648426049686,1.3833463646274016,0.3638488324398521,1.363848832439852,0.6727937034518872,2.0
12000,Ara + 1,297000.0,161000.0,13800000.0,28400000.0,0.34689858559205294,0.6748870268183573,5.196860690695044,3.828827638067266,1.3680330526277784,0.35749324814067285,1.3574932481406727,0.6703642136062964,2.0
13000,Ara + 1,291000.0,166000.0,12200000.0,33800000.0,0.362197607784316,0.7346722042062543,5.32038835489198,3.7353721032290226,1.585016251662957,0.4243800167904601,1.4243800167904601,0.7082574996445843,2.0
14000,Ara + 1,275000.0,166000.0,12600000.0,30300000.0,0.3765306122448979,0.7097083569466847,5.212169564389809,3.7932747185067335,1.418894845883075,0.3867409727144435,1.3867409727144435,0.6298153241323028,2.0
15000,Ara + 1,216000.0,108000.0,10300000.0,32900000.0,0.3197039777983349,0.7618670026721123,5.856573562924586,3.9344034734782483,1.9221700894463378,0.49276254239533746,1.4927625423953375,0.8735552417644519,2.0
16000,Ara + 1,258000.0,153000.0,10200000.0,26200000.0,0.3739528795811518,0.7190933026662227,5.140732538589365,3.6831074394008385,1.457625099188526,0.3963764271919135,1.3963764271919135,0.6557303285285643,2.0
17000,Ara + 1,308000.0,163000.0,15600000.0,28900000.0,0.3465954364360739,0.651489396146997,5.178284508675519,3.9115985932135455,1.2666859154619738,0.3294804501699521,1.3294804501699522,0.6286397967416328,2.0
18000,Ara + 1,305000.0,164000.0,10800000.0,32100000.0,0.35029498525073743,0.7483372456964006,5.276775573479881,3.567388153521384,1.7093874199584969,0.4791774020033873,1.4791774020033874,0.7601183221014116,2.0
19000,Ara + 1,289000.0,161000.0,8500000.0,33300000.0,0.35770727563659355,0.7957004033736708,5.329999802350663,3.375763545708026,1.9542362566426368,0.5815387254909937,1.5815387254909938,0.7991174582906468,2.0
20000,Ara + 1,273000.0,186000.0,8300000.0,31200000.0,0.40483539094650206,0.7888948773226567,5.122775222285957,3.4097603001970063,1.7130149220889506,0.505493510290769,1.5054935102907692,0.6665782508647988,2.0
22000,Ara + 1,304000.0,182000.0,10900000.0,30100000.0,0.3711858529819695,0.7322382223917605,5.125228226981342,3.579388505028106,1.5458397219532363,0.4318937454288192,1.4318937454288192,0.6793455898464815,2.0
24000,Ara + 1,278000.0,147000.0,9700000.0,29300000.0,0.34344654763502935,0.7466935930941633,5.296551001986021,3.5254280613114055,1.7711229406746163,0.5109351682534802,1.5109351682534802,0.7740756146467007,2.0
26000,Ara + 1,271000.0,171000.0,10000000.0,32100000.0,0.39205841594712715,0.7630607994929604,5.243255357549508,3.6328215396730394,1.6104338178764679,0.44454326823789014,1.44454326823789,0.6680338475430556,2.0
28000,Ara + 1,277000.0,174000.0,10700000.0,30400000.0,0.3881190504880106,0.7398408638817846,5.168175817416204,3.663275181597079,1.504900635819124,0.41063478694287237,1.4106347869428724,0.6454111247865708,2.0
30000,Ara + 1,242000.0,136000.0,10200000.0,28700000.0,0.36191042999553635,0.7397637586736585,5.376787181356984,3.7513320099793344,1.6254551713776493,0.43275129615556385,1.4327512961555637,0.7133557411934314,2.0
32000,Ara + 1,318000.0,179000.0,9700000.0,29400000.0,0.3595326132788427,0.7528298920448591,5.104864520840499,3.4088465025796255,1.6960180182608737,0.49918594258775717,1.4991859425877572,0.7395819323431035,2.0
34000,Ara + 1,287000.0,189000.0,13300000.0,32200000.0,0.39878361989013345,0.7103963272896328,5.13936254775242,3.816487589715038,1.3228749580373818,0.35834562067454245,1.3583456206745423,0.575481641347965,2.0
36000,Ara + 1,320000.0,157000.0,9900000.0,27500000.0,0.3296035242290749,0.7328255329008341,5.155719372631295,3.433466642230941,1.722252730400354,0.501430884931587,1.5014308849315872,0.7989917202860976,2.0
38000,Ara + 1,312000.0,185000.0,7800000.0,30800000.0,0.37032433135094733,0.7984425349087003,5.125341876260158,3.2025233744987247,1.9228185017614337,0.6081638335959891,1.6081638335959891,0.7713398983442983,2.0
40000,Ara + 1,325000.0,186000.0,9200000.0,28500000.0,0.36391635098093567,0.758317719866008,5.032971263250209,3.3261281669117126,1.706843096338497,0.5155634334073158,1.515563433407316,0.7336253383775986,2.0
42000,Ara + 1,284000.0,174000.0,10100000.0,29000000.0,0.3850250626566416,0.7471172325432416,5.115207955322817,3.5511266161096913,1.5640813392131259,0.4411356833194788,1.4411356833194788,0.6649657343077775,2.0
44000,Ara + 1,286000.0,150000.0,10000000.0,22200000.0,0.3475423728813559,0.6914568588776733,4.997972331679023,3.5487812050143774,1.4491911266646458,0.4084089164600365,1.4084089164600364,0.6937084133200007,2.0
46000,Ara + 1,300000.0,165000.0,7000000.0,28500000.0,0.3547222222222222,0.8024068076459008,5.151573207468582,3.1465516051901647,2.0050216022784175,0.6393479635111068,1.6393479635111068,0.8159965190135193,2.0
48000,Ara + 1,302000.0,108000.0,7600000.0,15800000.0,0.25866876385214843,0.6173767752715121,4.899114321121576,3.220832774528769,1.678281546592807,0.5288109985892318,1.5288109985892318,0.9737929409100953,2.0
50000,Ara + 1,277000.0,121000.0,10500000.0,18700000.0,0.299314807765512,0.642112676056338,5.081754867117851,3.615021440305697,1.466733426812155,0.40602336355546786,1.4060233635554678,0.784177500674877,2.0
0,Ara + 2,247000.0,247500.0,21350000.0,21400000.0,0.5081331190606845,0.5037641491557378,4.482677246510487,4.500096601632227,-0.017419355121740088,-0.0038685370150144055,0.9961314629849857,-0.008990335544990263,4.0
500,Ara + 2,160000.0,161000.0,9700000.0,28200000.0,0.5161900756938604,0.7377568252181255,5.16486733956461,4.17141990213573,0.9934474374288811,0.23744533670806092,1.237445336708061,0.35893089419136937,2.0
1000,Ara + 2,220000.0,167000.0,12600000.0,24500000.0,0.4332750582750583,0.6677860256863438,5.00353593439635,4.02249600314118,0.9810399312551699,0.2455924317212021,1.2455924317212022,0.4282099967491395,2.0
1500,Ara + 2,180000.0,129000.0,10900000.0,25800000.0,0.43210968597965504,0.7083459511840591,5.298317366548036,4.125745012841616,1.1725723537064203,0.2846214578830859,1.284621457883086,0.5037563207000643,2.0
2000,Ara + 2,239000.0,135000.0,11100000.0,20800000.0,0.3609625668449198,0.6720142602495544,5.0420916064407235,3.698857882142083,1.3432337242986405,0.383870685290757,1.383870685290757,0.61107476758674,2.0
2500,Ara + 2,254000.0,180000.0,6600000.0,17100000.0,0.4088142976106591,0.721111111111111,4.517822581458646,3.1885635139599833,1.3292590674986626,0.4102710704334067,1.4102710704334067,0.5872818518985955,2.0
3000,Ara + 2,211000.0,142000.0,7100000.0,23200000.0,0.4025316455696203,0.7652646750524109,5.09914034976424,3.5218693274269732,1.5772710223372668,0.4486164965912131,1.4486164965912132,0.6424087086733896,2.0
3500,Ara + 2,227000.0,128000.0,8800000.0,20000000.0,0.3662211655850415,0.6972140408478587,5.048735524538962,3.6301577444042046,1.4185777801347579,0.3925386971302796,1.3925386971302796,0.6472545998952737,2.0
4000,Ara + 2,201000.0,117000.0,6100000.0,19600000.0,0.3678640661470902,0.7623864324651726,5.120606068736904,3.409380870394258,1.7112251983426456,0.5030121284117495,1.5030121284117497,0.7284001994581107,2.0
4500,Ara + 2,202000.0,91000.0,6500000.0,18800000.0,0.3124300111982083,0.7446969696969696,5.291655535948801,3.4221371997013508,1.8695183362474508,0.5447603141288848,1.5447603141288848,0.8811644113835388,2.0
5000,Ara + 2,184000.0,107000.0,5400000.0,14700000.0,0.3798317185109638,0.7408574380165289,4.925247511197808,3.365706704565447,1.5595408066323615,0.4636058551924556,1.4636058551924556,0.673066194669602,2.0
6000,Ara + 2,255000.0,138000.0,6800000.0,18700000.0,0.34997150701963425,0.7336692795819335,4.94326316957139,3.2848902062381944,1.6583729633331952,0.5052945779489002,1.5052945779489,0.776195306090877,2.0
7000,Ara + 2,242000.0,141000.0,5300000.0,17500000.0,0.3742994505494506,0.7701848998459169,4.824907779656284,3.037813966782276,1.7870938128740077,0.592689176814847,1.5926891768148472,0.7353171253515679,2.0
8000,Ara + 2,214000.0,144000.0,6700000.0,23800000.0,0.400225056264066,0.8057901378373131,5.088880843294183,3.179554261208644,1.9093265820855394,0.6539104209178007,1.6539104209178006,0.7037109772266815,2.0
9000,Ara + 2,189000.0,102000.0,6600000.0,17800000.0,0.35490625297420764,0.7566759239478744,5.159657723839919,3.30715142503451,1.8525062988054093,0.6025655259508027,1.6025655259508027,0.7560199534920982,2.0
10000,Ara + 2,202000.0,95000.0,6700000.0,17300000.0,0.3410176779741997,0.7190191719922201,5.191720756317515,3.4945680052324692,1.6971527510850466,0.4858835039612114,1.4858835039612115,0.7736671434499865,2.0
11000,Ara + 2,232000.0,124000.0,7300000.0,14900000.0,0.37105062493783775,0.6713474025974027,4.79071770041903,3.5204494496766836,1.270268250742346,0.37336739054507556,1.3733673905450756,0.6332435392227589,2.0
12000,Ara + 2,196000.0,164000.0,4400000.0,17700000.0,0.45022399203583874,0.8036860292907684,4.706002445806634,3.07280761346762,1.633194832339014,0.535848066677429,1.535848066677429,0.5871159969982502,2.0
13000,Ara + 2,207000.0,133000.0,5800000.0,17500000.0,0.40364583333333337,0.7502956393200295,4.883240885904368,3.375258905261604,1.5079819806427646,0.46263726602888655,1.4626372660288864,0.6490921622298081,2.0
14000,Ara + 2,193000.0,137000.0,6400000.0,21400000.0,0.41515151515151516,0.7706860706860708,5.072993701097338,3.504907186015455,1.568086515081883,0.4480241012830798,1.44802410128308,0.6413956268999785,2.0
15000,Ara + 2,210000.0,139000.0,6700000.0,19300000.0,0.40816891658013155,0.7416472416472417,4.934966905914347,3.5055632679886086,1.4294036379257382,0.4135574718666344,1.4135574718666344,0.6029128341275642,2.0
16000,Ara + 2,230000.0,160000.0,5400000.0,20900000.0,0.40961573867073464,0.7946321591181404,4.867990540763657,3.143222961020687,1.72476757974297,0.5467701697766657,1.5467701697766656,0.674424892741281,2.0
17000,Ara + 2,258000.0,118000.0,5200000.0,13800000.0,0.3148295003965107,0.7284937284937285,4.7636224783922305,2.9791055610438395,1.7845169173483908,0.6202734306744764,1.6202734306744764,0.8413950371484809,2.0
18000,Ara + 2,242000.0,111000.0,5100000.0,21800000.0,0.3111540941328176,0.8123132263420033,5.305490359988189,2.9892007265666285,2.31628963342156,0.8109628391896526,1.8109628391896528,0.9705097005722252,2.0
19000,Ara + 2,228000.0,133000.0,7100000.0,16100000.0,0.3744067690770576,0.6951965391213546,4.79577122252249,3.451183299115145,1.3445879234073455,0.39044866669531764,1.3904486666953177,0.6260178173298807,2.0
20000,Ara + 2,239000.0,103000.0,5600000.0,21300000.0,0.302795841012623,0.7913392363032651,5.334230233833665,3.164259664427295,2.16997056940637,0.6863243340832156,1.6863243340832157,0.9613741034776084,2.0
22000,Ara + 2,241000.0,125000.0,4100000.0,21300000.0,0.3417940754897277,0.8384176587301587,5.146942901196322,2.8295708470167904,2.3173720541795317,0.8325554399587927,1.8325554399587924,0.9070878521155739,2.0
24000,Ara + 2,283000.0,141000.0,4900000.0,21600000.0,0.33504004640474755,0.8132128193430657,5.030743169188869,2.8227567832661125,2.207986385922757,0.7872694592726956,1.7872694592726956,0.8948057280865045,2.0
26000,Ara + 2,246000.0,167000.0,5800000.0,24400000.0,0.4144382407679499,0.8036616161616161,4.968660812775955,3.2019052081541846,1.766755604621771,0.5588197914837014,1.5588197914837014,0.6687673379375018,2.0
28000,Ara + 2,200000.0,87000.0,4200000.0,16300000.0,0.3028846153846154,0.7902930402930404,5.249116680361038,3.0449917654745455,2.204124914886492,0.7238977929035798,1.7238977929035797,0.9867464818352276,2.0
30000,Ara + 2,218000.0,122000.0,4100000.0,15400000.0,0.35564942671541655,0.7949197860962567,4.858297376351018,2.889586660311406,1.9687107160396118,0.6926604970134669,1.6926604970134669,0.8045855587205079,2.0
32000,Ara + 2,230000.0,107000.0,5000000.0,20700000.0,0.31168291802094616,0.8005628881987578,5.2637805283965555,3.0716212824989264,2.192159245897629,0.7107090887368677,1.7107090887368677,0.9501473722648182,2.0
34000,Ara + 2,262000.0,111000.0,7400000.0,22600000.0,0.2931726907630522,0.7432069546220017,5.317276983979184,3.3364423746923646,1.980834609286819,0.5973969184514847,1.597396918451485,0.9357207483238634,2.0
36000,Ara + 2,217000.0,83000.0,6000000.0,20700000.0,0.2717171717171717,0.7817842182723876,5.558985482066457,3.232961263351549,2.326024218714908,0.7414821804752698,1.7414821804752698,1.069726838595332,2.0
38000,Ara + 2,237000.0,114000.0,2900000.0,17500000.0,0.32605461518116896,0.8599415204678362,5.034588028397591,2.485416000046703,2.5491720283508883,1.0289019399539054,2.0289019399539057,0.9700064558325038,2.0
40000,Ara + 2,243000.0,119000.0,5400000.0,20100000.0,0.3278411880216004,0.7957516339869282,5.123317581997158,3.028754618196878,2.0945629638002803,0.7153702152012433,1.7153702152012436,0.8863530979040071,2.0
42000,Ara + 2,275000.0,112000.0,6300000.0,20300000.0,0.2900966183574879,0.7602794184461609,5.192874066496062,3.1288323653719314,2.0640417011241303,0.6602668222045492,1.6602668222045494,0.9624873909826118,2.0
44000,Ara + 2,232000.0,80000.0,4000000.0,18000000.0,0.2531234382808596,0.8173021255479282,5.43984892984578,2.8389526800986706,2.6008962497471093,0.9201225775974939,1.920122577597494,1.177724909456432,2.0
46000,Ara + 2,286000.0,108000.0,5200000.0,15500000.0,0.273193617405202,0.7485632183908046,4.970732297462076,2.8893264876115348,2.0814058098505406,0.7290016918936065,1.7290016918936066,1.0218597292376503,2.0
48000,Ara + 2,251000.0,85000.0,4800000.0,20100000.0,0.2554353627726577,0.8077582794563927,5.458708376987099,2.94355226589187,2.51515611109523,0.8698457227986207,1.8698457227986207,1.1622121344075524,2.0
50000,Ara + 2,270000.0,70000.0,4700000.0,19200000.0,0.19901539365884124,0.8114357864357864,5.681788499331099,2.7896631138946266,2.8921253854364726,1.1057894919466695,2.1057894919466698,1.4140724458899303,2.0
0,Ara + 3,341500.0,353500.0,30600000.0,31000000.0,0.5130612265935864,0.5048934721979985,4.48549989893379,4.519345698692878,-0.033845799759087525,-0.006034609016091544,0.9939653909839083,-0.012329468980977198,4.0
500,Ara + 3,338000.0,269000.0,19100000.0,30800000.0,0.4457946913975056,0.6176536779835391,4.760354992347379,4.062405880177754,0.6979491121696253,0.171921739168054,1.171921739168054,0.3260822962657549,2.0
1000,Ara + 3,330000.0,293000.0,19000000.0,32000000.0,0.4747943648157642,0.6262934220251293,4.719732702254959,4.099875035901813,0.6198576663531459,0.15691689690347402,1.156916896903474,0.2761578367072667,2.0
1500,Ara + 3,296000.0,221000.0,19100000.0,33900000.0,0.42674488567990376,0.6355811027224891,5.0242052133653,4.162466146359863,0.8617390670054372,0.20808839894102354,1.2080883989410236,0.3936953335903254,2.0
2000,Ara + 3,148000.0,125000.0,10700000.0,28900000.0,0.47785626535626535,0.7319240196078431,5.472855662214295,4.347816067566807,1.1250395946474885,0.29241730682659783,1.2924173068265978,0.4287241130684709,2.0
2500,Ara + 3,328000.0,240000.0,12100000.0,34200000.0,0.42834452950059887,0.7488550055341399,4.97032365912726,3.5540006140302496,1.4163230450970108,0.4026872381929989,1.402687238192999,0.5563615328443269,2.0
3000,Ara + 3,307000.0,203000.0,11200000.0,27600000.0,0.39736805673060654,0.7136418511066398,4.917875272494978,3.582153216419372,1.3357220560756058,0.37994399128956446,1.3799439912895646,0.5908065171060777,2.0
3500,Ara + 3,320000.0,205000.0,13200000.0,27100000.0,0.38589233347297863,0.6693600517129928,4.903229883426805,3.728339445816258,1.1748904376105473,0.3130795008552002,1.3130795008552,0.551973571398457,2.0
4000,Ara + 3,303000.0,199000.0,9800000.0,23300000.0,0.40564328684714246,0.7015943641082685,4.76908312146179,3.5285895661345164,1.2404935553272738,0.35874099787329666,1.3587409978732965,0.5511662976013925,2.0
4500,Ara + 3,325000.0,191000.0,11000000.0,27700000.0,0.37244630696699843,0.715614973262032,5.013108506063919,3.568309763702522,1.4447987423613966,0.4088588976183616,1.4088588976183616,0.6532606916372525,2.0
5000,Ara + 3,283000.0,160000.0,10500000.0,27700000.0,0.3652777777777778,0.7255311934900542,5.226584476684415,3.701721129499584,1.5248633471848319,0.4275950398864404,1.4275950398864403,0.686595199627946,2.0
6000,Ara + 3,334000.0,174000.0,13400000.0,26100000.0,0.34535139950302407,0.66403513290748,5.010627954161874,3.6791220342321282,1.3315059199297465,0.36247277387065624,1.3624727738706564,0.6552784309858232,2.0
7000,Ara + 3,332000.0,162000.0,9100000.0,24000000.0,0.3308660498457948,0.7269244935543278,4.997894435325527,3.3105271616095564,1.687367273715971,0.5096971348975217,1.5096971348975217,0.7890829916309099,2.0
8000,Ara + 3,371000.0,182000.0,7900000.0,23700000.0,0.33189450026441036,0.75,4.865524070288339,3.064784474616806,1.8007395956715337,0.5884613830823193,1.5884613830823193,0.8185702574917182,2.0
9000,Ara + 3,298000.0,150000.0,7900000.0,24500000.0,0.33916962001549045,0.7564894225271583,5.165185973944848,3.362044402214452,1.8031415717303954,0.540501495805827,1.540501495805827,0.8024778689000294,2.0
10000,Ara + 3,337000.0,171000.0,8900000.0,25500000.0,0.3346205962059621,0.7402990628911668,5.052484803534579,3.30998558545992,1.74249921807466,0.524579612903617,1.5245796129036169,0.7932280746883728,2.0
11000,Ara + 3,369000.0,181000.0,6800000.0,22200000.0,0.33244445672598655,0.7689995706311722,4.821988178525522,2.8858600012964946,1.9361281772290273,0.6752428442828273,1.6752428442828273,0.8364235847799388,2.0
