genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YJL123C,21,B,23,123,1.000000000e+00,-2.983449267e-02,9.506674786e+02,6.500816812e+02,1.620240329e-06,1.080160220e-07,9.581386876e-01
BY4741,41,A,71,71,1.000000000e+00,7.556129432e-03,4.152548440e+02,3.342386764e+02,6.490102063e-08,1.622525516e-08,2.176419705e-03
BY4741,41,A,71,71,1.000000000e+00,-3.309633514e-02,8.601928967e+02,5.516894329e+02,2.679344573e-06,1.674590358e-07,9.452074188e-01
YOR108W,33,B,58,158,1.000000000e+00,-3.191261161e-02,8.263928302e+02,4.974664891e+02,2.879341665e-06,1.693730391e-07,9.451574478e-01
BY4741,46,A,27,27,2.000000000e+00,-1.896339447e-02,1.356896929e+03,6.001606729e+02,1.023698224e-06,2.766751956e-08,9.901293163e-01
YDR174W,47,B,36,136,1.000000000e+00,-5.348866917e-02,4.877195648e+02,1.365365575e+02,4.204178643e-06,2.335654802e-07,5.786684688e-01
YDR174W,47,B,36,136,1.000000000e+00,-5.238041022e-03,1.546364046e+03,9.042951890e+02,5.248078626e-07,1.640024571e-08,9.857038637e-01
BY4741,17,B,5,105,1.000000000e+00,-2.577830532e-02,8.882433985e+02,5.373685660e+02,2.146840708e-06,1.192689282e-07,9.563589101e-01
YNL053W,50,B,45,145,1.000000000e+00,1.660536116e-02,4.185969927e+02,2.874190114e+02,4.296763886e-07,7.161273144e-08,9.518766125e-01
YNL053W,50,B,45,145,2.000000000e+00,-1.319700600e-01,1.066216705e+03,4.889982763e+02,5.042922764e-06,1.738938884e-07,9.682048057e-01
YOR323C,35,A,19,19,1.000000000e+00,-2.721072332e-02,8.345294247e+02,5.093116930e+02,1.607603395e-06,1.004752122e-07,9.596005105e-01
YMR102C,44,A,74,74,1.000000000e+00,-3.333097701e-02,8.285070224e+02,5.131188275e+02,1.990178705e-06,1.243861691e-07,9.609878309e-01
YOR036W,32,A,98,98,1.000000000e+00,1.781586183e-02,6.093416806e+02,1.853260040e+02,3.499803096e-07,1.666572903e-08,9.637409539e-01
YOR036W,32,A,98,98,1.000000000e+00,-1.652205224e-02,1.452701496e+03,1.176329770e+03,6.915582919e-07,4.939702085e-08,9.528684829e-01
YBL101C,7,A,85,85,1.000000000e+00,-8.401672411e-03,3.880022370e+02,8.416834000e+01,1.098566134e-06,7.323774225e-08,9.370250388e-01
YBL101C,7,A,85,85,1.000000000e+00,-2.494694404e-02,1.164004320e+03,7.834723795e+02,2.873485328e-06,1.512360699e-07,9.493277013e-01
YLR284C,26,A,73,73,2.000000000e+00,-1.996568771e-02,1.253492507e+03,5.551483248e+02,1.659842072e-06,4.742405921e-08,9.878970964e-01
YKL106W,22,A,91,91,1.000000000e+00,-2.097448984e-02,7.816817505e+02,4.662648838e+02,1.783140335e-06,1.114462709e-07,9.627822446e-01
YLR454W,41,A,53,53,1.000000000e+00,-3.623128347e-03,7.170367822e+02,5.722851857e+02,2.623468923e-07,3.747812747e-08,9.874748141e-01
YPR172W,39,A,83,83,1.000000000e+00,5.147850257e-03,3.052128238e+02,8.416834000e+01,1.929207437e-07,1.753824943e-08,9.793795128e-01
YPR172W,39,A,83,83,2.000000000e+00,-3.066466025e-02,1.129827028e+03,4.482730302e+02,1.195701575e-06,3.516769338e-08,9.904165343e-01
YDL113C,10,B,67,167,1.000000000e+00,1.288974952e-03,2.803722315e+02,8.416834000e+01,2.671979193e-07,2.671979193e-08,9.167450978e-01
YDL113C,10,B,67,167,1.000000000e+00,1.187820604e-01,1.695376386e+03,8.265297617e+02,1.901241662e-06,4.421492238e-08,9.673676143e-01
YLR322W,27,B,2,102,1.000000000e+00,1.080499574e-02,3.783386102e+02,1.144994808e+02,1.584725439e-07,1.219019569e-08,9.715202378e-01
YLR322W,27,B,2,102,2.000000000e+00,-1.265815041e-02,1.423825096e+03,5.368809267e+02,6.065303324e-07,1.347845183e-08,9.917104228e-01
YDL234C,11,A,62,62,2.000000000e+00,-2.433806919e-02,1.314777705e+03,5.643006354e+02,1.284097521e-06,3.470533842e-08,9.909166238e-01
YDL047W,10,A,19,19,1.000000000e+00,-2.849363547e-02,4.071618560e+02,1.226274951e+02,6.328277971e-07,4.520198551e-08,9.061476403e-01
YDL047W,10,A,19,19,1.000000000e+00,3.464702958e-02,1.497927026e+03,1.076788032e+03,1.415890371e-06,6.742335098e-08,9.347132622e-01
YPL060W,38,A,18,18,2.000000000e+00,-1.784822616e-02,1.208653280e+03,4.793913569e+02,1.304422293e-06,3.525465658e-08,9.898965680e-01
YDR401W,14,B,78,178,1.000000000e+00,-1.321207584e-02,8.727299269e+02,5.265990058e+02,1.999669016e-06,1.176275892e-07,9.571948581e-01
YPL158C,50,A,63,63,1.000000000e+00,2.730066882e-03,4.856279853e+02,3.502902623e+02,1.163847240e-07,1.662638915e-08,6.258313783e-01
YPL158C,50,A,63,63,2.000000000e+00,-2.593884337e-02,1.347433281e+03,6.247062283e+02,1.320635881e-06,3.668433004e-08,9.877982942e-01
YLR401C,27,B,64,164,1.000000000e+00,-2.974188370e-02,8.466856623e+02,4.860943338e+02,2.541219984e-06,1.411788880e-07,9.559763537e-01
YMR261C,29,A,76,76,2.000000000e+00,-2.077707921e-02,1.118058042e+03,4.577694802e+02,1.708718392e-06,5.177934522e-08,9.885144320e-01
YMR251W-A,29,B,66,166,2.000000000e+00,1.620742356e-02,1.013418115e+03,4.474824961e+02,3.147360758e-06,1.124057413e-07,9.694250692e-01
YMR251W-A,29,B,66,166,1.000000000e+00,3.854516304e-03,2.084681169e+03,2.025041400e+03,3.187808095e-08,1.062602698e-08,-inf
