genotype,run_no,plate_no,well_no,file_column,no_segments,sum_area_gap_fd,t_end,t_start,tphase_residuals_fd,tphase_residuals_fd_normalized,tphase_rsquared_fd
YDR233C,51,A,29,29,1.000000000e+00,-1.688470681e-02,1.034914977e+03,6.973108967e+02,1.749905289e-06,1.029356053e-07,9.606504057e-01
YGL050W,17,B,51,151,1.000000000e+00,-1.799418703e-02,9.131296108e+02,5.874778207e+02,2.022323509e-06,1.263952193e-07,9.569738381e-01
YGL232W,18,B,79,179,2.000000000e+00,-1.832678225e-02,1.191016311e+03,5.151875927e+02,1.305287832e-06,3.839081858e-08,9.891275237e-01
YGR063C,47,A,49,49,1.000000000e+00,2.465355068e-02,3.694414060e+02,2.225766119e+02,1.005438701e-06,1.436341001e-07,4.640038384e-01
YGR063C,47,A,49,49,3.000000000e+00,3.036667478e-02,1.443100511e+03,5.023926948e+02,2.605183776e-06,5.542944204e-08,9.879033561e-01
YDL110C,10,B,65,165,1.000000000e+00,-5.019984377e-04,8.651669242e+02,5.939646795e+02,9.066805971e-07,6.476289979e-08,9.718671415e-01
YDL110C,10,B,65,165,1.000000000e+00,1.083298839e-02,1.275380379e+03,1.081839867e+03,9.871129908e-08,1.096792212e-08,9.286399518e-01
YNL265C,30,B,74,174,2.000000000e+00,-1.790501958e-02,1.035918717e+03,6.475919190e+02,4.852144510e-07,2.553760269e-08,9.910522130e-01
YNL265C,30,B,74,174,1.000000000e+00,2.580895084e-02,1.350665143e+03,1.063302478e+03,2.279667962e-07,1.628334259e-08,8.700942377e-01
YNL217W,31,B,6,106,1.000000000e+00,-2.085917274e-02,7.884148090e+02,4.593317518e+02,2.184498151e-06,1.284998913e-07,9.594646727e-01
YPR130C,39,A,52,52,2.000000000e+00,1.410241971e-02,1.366181651e+03,6.445268967e+02,8.399688411e-07,2.333246781e-08,9.920224128e-01
YHL031C,4,A,59,59,1.000000000e+00,4.581839841e-03,5.097789826e+02,3.384770242e+02,6.123286031e-08,6.803651146e-09,7.980458089e-01
YHL031C,4,A,59,59,2.000000000e+00,-2.535269809e-02,1.335509131e+03,6.429373462e+02,8.538131912e-07,2.511215268e-08,9.920195964e-01
YLR126C,25,B,56,156,1.000000000e+00,-2.798457588e-02,8.244500755e+02,4.947058042e+02,2.539780345e-06,1.493988438e-07,9.529589252e-01
YPR170C,39,B,81,181,1.000000000e+00,1.173465330e-02,4.414090241e+02,2.795426589e+02,1.991018086e-07,2.212242318e-08,9.001837372e-01
YPR170C,39,B,81,181,2.000000000e+00,-5.907209820e-04,1.323359339e+03,5.775549606e+02,9.384315991e-07,2.469556840e-08,9.930742712e-01
YKR080W,41,A,6,6,1.000000000e+00,6.070954759e-03,3.245201804e+02,2.101668292e+02,5.534992535e-08,9.224987559e-09,8.874675930e-01
YKR080W,41,A,6,6,1.000000000e+00,-1.573407868e-02,6.646888913e+02,5.680603135e+02,4.086929733e-07,8.173859465e-08,5.472943614e-01
YKR080W,41,A,6,6,1.000000000e+00,2.363165441e-02,9.161929709e+02,8.085575067e+02,3.329351857e-06,6.658703713e-07,7.909275164e-01
YKR036C,48,A,1,1,1.000000000e+00,9.366303909e-03,4.714230664e+02,3.113225460e+02,8.385243127e-08,1.048155391e-08,9.359560847e-01
YKR036C,48,A,1,1,2.000000000e+00,-2.387416562e-02,1.352510807e+03,6.099005106e+02,1.080007606e-06,2.918939476e-08,9.912089709e-01
YKR018C,23,B,90,190,1.000000000e+00,3.316138861e-03,3.925266485e+02,3.135492780e+02,3.579149459e-08,8.947873648e-09,6.395486439e-01
YKR018C,23,B,90,190,1.000000000e+00,-3.097993638e-02,8.613945421e+02,5.355697781e+02,2.703695360e-06,1.590409036e-07,9.435052362e-01
YOR299W,34,B,98,198,1.000000000e+00,-1.434382748e-02,3.701398293e+02,1.396973819e+02,8.428919563e-07,7.024099636e-08,2.204452416e-01
YOR299W,34,B,98,198,2.000000000e+00,-2.251813686e-02,1.180559114e+03,4.705085341e+02,1.253660294e-06,3.482389707e-08,9.900963304e-01
YGL217C,46,A,2,2,2.000000000e+00,-1.748352038e-03,1.228456348e+03,5.430625754e+02,9.739339724e-07,2.864511683e-08,9.917556653e-01
YHR104W,6,B,31,131,1.000000000e+00,1.641347407e-03,4.478927684e+02,3.840118754e+02,6.582720911e-09,2.194240304e-09,4.650381388e-01
